ID,Category,Indicator Name,Definition,Definition_Plain,Unit of Measure,Operationalization,Collection Frequency,Priority,Notes/Edge Cases,Domain_Original,Domain_Code,Domain_Name,Domain_Question,Tier,Tier_Rationale,Data_Reliability
SH01,Shelter & Housing,Number of emergency shelters in community,Count of facilities providing emergency overnight accommodation for GBV survivors,"How many emergency shelters can survivors go to in this community?",Integer (0+),Binary presence (0/1) OR count if >1,Annual,HIGH,"Include: women's shelters, transition houses, emergency beds. Exclude: homeless shelters without GBV mandate",D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + HIGH reliability,HIGH
SH02,Shelter & Housing,Number of second-stage housing units in community,Count of transitional housing units specifically for GBV survivors post-shelter,"How many transitional housing units are available for survivors after they leave the shelter?",Integer (0+),Count of units available,Annual,HIGH,Units must be designated for GBV survivors; include both organization-operated and housing authority partnerships,D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + HIGH reliability,HIGH
SH03,Shelter & Housing,Wait time to access shelter,Average number of days from crisis contact to shelter placement,"How long do survivors typically wait to get into a shelter?",Days (continuous),Mean wait time; 0 if immediate access typical,Quarterly,HIGH,Based on shelter intake data; flag if shelter at capacity >50% of time,D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + MEDIUM reliability,MEDIUM
SH04,Shelter & Housing,Pet-friendly shelter capacity,Whether shelter accommodates companion animals and number of animal spaces,"Can survivors bring their pets to the shelter?",Binary + Integer,"0=No, 1=Yes; if yes, count spaces",Annual,MEDIUM,Critical for rural/northern contexts where animals are common and barrier to leaving,D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,MEDIUM priority but critical northern context,HIGH
SH05,Shelter & Housing,Distance to nearest shelter from community centre,Kilometres from community's main intersection/centre to nearest GBV shelter,"How far do survivors have to travel to reach the nearest shelter?",Kilometres,Driving distance via primary road,Static (update on new shelter),HIGH,Use Google Maps driving distance; note if road seasonal or fly-in only,D2: Housing Access,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + HIGH reliability,HIGH
SH06,Shelter & Housing,Availability of pet-friendly rental housing,Proportion of rental housing stock that permits pets,"What percentage of rental housing allows pets?",Percentage,Estimate from housing authority/CMHC data,Annual,MEDIUM,Proxy indicator for housing options when leaving abuser with animals,D2: Housing Access,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
TR01,Transportation,Existence of public transportation,Whether any scheduled public transit service operates in community,"Is there any public transit in this community?",Binary,"0=None, 1=Exists",Annual,HIGH,"Include: municipal bus, inter-community bus. Exclude: school bus, charter only",D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + HIGH reliability,HIGH
TR02,Transportation,Existence of emergency transportation options,Availability of crisis transportation (not requiring personal vehicle),"Can survivors get emergency transportation without needing their own car?",Categorical,"0=None, 1=Taxi only, 2=Crisis transport service, 3=Both",Annual,HIGH,"Include: victim services transport, shelter pickup, crisis taxi vouchers",D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + HIGH reliability,HIGH
TR03,Transportation,Distance to nearest hospital with SANE,Kilometres to nearest Sexual Assault Nurse Examiner program,"How far is the nearest hospital where survivors can get a forensic exam after sexual assault?",Kilometres,Driving distance; note if >24hr travel,Static (update on program change),HIGH,Critical for forensic evidence collection window (72-120 hours),D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + HIGH reliability,HIGH
TR04,Transportation,Availability of travel funds for GBV services,Whether dedicated travel subsidy exists for GBV service access,"Is there money available to help survivors pay for travel to get services?",Binary + Dollar,"0=None, 1=Yes; if yes, maximum amount available",Annual,HIGH,"Include: shelter travel funds, victim services travel, First Nation travel support",D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + MEDIUM reliability,MEDIUM
